Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Label
"[1, 6, 7]","[5, 9, 14]","[6, 0, 2]","[4, -1, 5]","[0, -3, 1]","[6, -7, 0]","[8, -1, 3]","[0, -3, -2]",Evan_001_001
"[4, 5, 8]","[5, 6, 12]","[4, -1, 7]","[5, 0, 11]","[3, -3, 0]","[6, -6, 0]","[7, -1, 9]","[1, -1, 0]",Evan_001_001
"[4, 6, 10]","[7, 2, 20]","[6, -5, 10]","[4, -1, 11]","[0, -2, 0]","[5, -4, 0]","[5, -2, -3]","[2, 0, 0]",Evan_001_001
"[10, 5, 14]","[9, -1, 26]","[7, -5, 8]","[8, -1, 7]","[0, 0, 4]","[5, -4, 3]","[5, 0, 0]","[3, 1, -1]",Evan_001_001
"[6, 0, 13]","[9, -3, 22]","[6, -4, 8]","[2, 0, 9]","[3, 2, 1]","[9, -4, 4]","[2, 0, 5]","[1, -3, 0]",Evan_001_001
"[3, 3, 6]","[5, 2, 12]","[2, -2, 9]","[5, -3, 7]","[0, -1, 2]","[3, -3, 3]","[2, 0, 0]","[0, -1, -3]",Evan_001_001
"[-2, 2, 8]","[-3, 7, 13]","[0, 0, 3]","[-4, 0, 9]","[-6, 0, -5]","[-3, -7, -13]","[1, -5, -2]","[-2, -3, -1]",Evan_001_001
"[-9, 3, 5]","[-4, 8, 4]","[-5, 2, 4]","[-3, -2, 6]","[-6, 0, -7]","[-3, -10, -7]","[-2, -7, 2]","[-6, -3, 0]",Evan_001_001
"[-3, -1, 10]","[-8, 7, 3]","[-2, -1, 4]","[-4, -3, 12]","[-7, 1, -5]","[-5, -8, -13]","[0, -6, 0]","[-2, 0, -3]",Evan_001_001
"[-3, 3, 10]","[-3, 4, 13]","[0, -2, 5]","[-1, 0, 6]","[-4, 2, -5]","[-5, -4, -8]","[2, -3, -2]","[-1, -2, 0]",Evan_001_001
"[0, 0, 9]","[-2, 0, 14]","[0, -3, 12]","[0, 0, 9]","[-3, 1, -6]","[1, -7, -3]","[3, -5, 1]","[-3, 1, -3]",Evan_001_001
"[-2, 3, 10]","[0, 4, 19]","[1, -3, 6]","[1, -5, 9]","[-1, 0, 0]","[2, -6, -1]","[1, -2, 0]","[-1, 0, -3]",Evan_001_001
"[2, 2, 7]","[3, 3, 12]","[5, -4, 9]","[3, -2, 3]","[0, 0, -1]","[4, -4, 0]","[4, -4, 3]","[3, -2, -3]",Evan_001_001
"[2, 8, 4]","[14, 10, 13]","[11, -2, 4]","[6, 1, 8]","[9, -7, 10]","[17, -12, 30]","[18, 2, 12]","[9, -1, 2]",Evan_001_001
"[4, 15, 1]","[14, 10, 19]","[11, 0, 10]","[7, 1, 3]","[11, -5, 6]","[15, -10, 25]","[15, 3, 10]","[8, -1, 5]",Evan_001_001
"[4, 10, 0]","[10, 10, 19]","[11, 0, 7]","[5, 5, 11]","[8, -7, 9]","[12, -10, 19]","[15, 3, 14]","[9, -2, 2]",Evan_001_001
"[1, 11, 6]","[10, 14, 19]","[8, -1, 13]","[6, 6, 11]","[3, -2, 2]","[7, -11, 13]","[15, 0, 12]","[4, 0, 2]",Evan_001_001
"[6, 13, 4]","[12, 17, 21]","[10, 2, 8]","[4, 5, 6]","[3, -4, 8]","[8, -12, 15]","[18, -1, 10]","[9, -1, 1]",Evan_001_001
"[4, 14, 0]","[12, 14, 21]","[13, -5, 14]","[5, 2, 5]","[6, -4, 1]","[9, -12, 22]","[17, 0, 13]","[9, 0, 5]",Evan_001_001
"[5, 10, 6]","[13, 13, 26]","[14, -5, 16]","[8, 0, 6]","[5, -6, 2]","[14, -11, 10]","[12, 2, 10]","[9, -1, -1]",Evan_001_001
"[0, 12, 31]","[-7, 5, 37]","[4, -6, 22]","[10, -3, 26]","[-3, 0, -16]","[-1, -6, -23]","[0, -4, -12]","[-5, -1, -4]",Evan_001_001
"[-23, 7, 21]","[-27, 9, 10]","[-8, 0, 18]","[-11, -1, 19]","[-17, 0, -20]","[-14, -13, -24]","[-8, -16, -7]","[-10, -5, -11]",Evan_001_001
"[-34, -4, -16]","[-25, 18, -36]","[-20, 7, -22]","[-22, -3, -1]","[-18, -4, -13]","[-15, -19, -18]","[-5, -23, -3]","[-11, -12, -2]",Evan_001_001
"[-36, -5, -27]","[-16, 19, -56]","[-18, 15, -30]","[-26, -2, -9]","[-10, -6, -18]","[-17, -23, -17]","[-1, -23, 2]","[-10, -12, 0]",Evan_001_001
"[-32, -1, -27]","[-15, 23, -40]","[-14, 17, -26]","[-25, 0, -10]","[-14, -5, -14]","[-17, -25, -19]","[-2, -22, 7]","[-9, -9, 1]",Evan_001_001
"[-36, 0, -27]","[-13, 30, -46]","[-15, 19, -24]","[-30, 2, -13]","[-17, -4, -20]","[-18, -25, -21]","[-2, -24, 2]","[-10, -11, -3]",Evan_001_001
"[-41, 1, -35]","[-23, 37, -46]","[-17, 24, -19]","[-29, 3, -7]","[-20, -5, -27]","[-19, -26, -26]","[-3, -28, -5]","[-10, -14, -3]",Evan_001_001
"[-44, 0, -25]","[-22, 30, -43]","[-17, 19, -16]","[-28, 2, -1]","[-19, -7, -18]","[-23, -26, -30]","[-1, -24, -4]","[-13, -10, -7]",Evan_001_001
