Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Label
"[-4, 4, 18]","[-3, 11, 23]","[1, -3, 16]","[2, -3, 19]","[-3, -1, -7]","[-3, -12, -5]","[3, -14, -2]","[-3, -5, -1]",Evan_001_001
"[-4, 3, 22]","[-3, 6, 23]","[4, -2, 13]","[3, 2, 16]","[-2, -1, -10]","[-4, -13, -14]","[1, -10, -4]","[-2, -6, -5]",Evan_001_001
"[-4, 4, 18]","[-5, 7, 19]","[-2, 0, 16]","[0, -3, 13]","[-6, -3, -14]","[0, -14, -10]","[4, -15, -7]","[-4, -10, -2]",Evan_001_001
"[-5, 6, 17]","[-4, 9, 21]","[4, -2, 16]","[1, 0, 15]","[-7, -2, -13]","[-4, -15, -8]","[2, -13, -6]","[-2, -6, -4]",Evan_001_001
"[-5, 4, 23]","[-3, 9, 20]","[1, -2, 12]","[2, 0, 16]","[-4, -6, -10]","[0, -13, -19]","[9, -12, -3]","[-3, -2, -4]",Evan_001_001
"[-5, 8, 15]","[-3, 10, 19]","[1, 0, 15]","[3, -1, 12]","[-2, -4, -6]","[0, -16, -4]","[3, -14, -3]","[-3, -5, 1]",Evan_001_001
"[-3, 4, 16]","[-4, 9, 18]","[2, 0, 12]","[0, 2, 14]","[-3, -2, -10]","[0, -15, -8]","[7, -17, -5]","[0, -6, -7]",Evan_001_001
"[-3, 8, 15]","[-2, 8, 21]","[6, 1, 16]","[4, 1, 15]","[-4, -1, -11]","[-1, -17, -11]","[6, -13, -2]","[-1, -4, -7]",Evan_001_001
"[-3, 5, 12]","[-4, 8, 14]","[1, 0, 9]","[3, -1, 13]","[-2, -4, -9]","[-3, -14, -10]","[5, -17, -2]","[-1, -5, -10]",Evan_001_001
"[-4, 6, 18]","[-4, 7, 16]","[0, 2, 7]","[1, 1, 11]","[0, -4, -6]","[-3, -16, -16]","[7, -15, -7]","[0, -8, -7]",Evan_001_001
"[-4, 4, 12]","[-4, 9, 13]","[4, 1, 9]","[0, 2, 12]","[-1, -5, -8]","[0, -15, -11]","[3, -16, -4]","[-4, -6, -7]",Evan_001_001
"[-3, 6, 10]","[-4, 13, 12]","[1, 0, 7]","[1, -1, 9]","[-3, -2, -13]","[-5, -15, -13]","[4, -14, -5]","[0, -7, -10]",Evan_001_001
"[-5, 5, 9]","[-7, 10, 9]","[1, 2, 7]","[1, 2, 15]","[-6, 0, -9]","[-1, -15, -16]","[4, -12, -5]","[0, -5, -8]",Evan_001_001
"[-7, 8, 16]","[-4, 11, 10]","[0, 1, 13]","[1, 0, 11]","[-5, -3, -13]","[0, -14, -16]","[5, -14, -12]","[-1, -6, -8]",Evan_001_001
"[-15, 3, 21]","[-25, 10, 13]","[-11, -3, 14]","[-4, -3, 28]","[-12, 1, -24]","[-8, -12, -31]","[-3, -16, -10]","[-10, -7, -10]",Evan_001_001
"[-23, 2, 25]","[-26, 6, 7]","[-10, -4, 7]","[-8, -3, 24]","[-9, -2, -22]","[-11, -19, -30]","[-5, -20, -12]","[-7, -8, -16]",Evan_001_001
"[-19, 0, 27]","[-26, 2, 7]","[-10, -6, 12]","[-6, -4, 24]","[-10, 0, -24]","[-8, -16, -27]","[-1, -18, -13]","[-10, -6, -11]",Evan_001_001
"[-10, -1, 22]","[-16, 0, 10]","[-6, -5, 14]","[-1, -9, 22]","[-6, -2, -20]","[-5, -16, -23]","[4, -16, -13]","[-4, -4, -14]",Evan_001_001
"[-1, 1, 18]","[-9, 0, 16]","[0, -2, 9]","[1, -3, 18]","[-1, -2, -20]","[0, -14, -22]","[6, -13, -9]","[-2, -4, -10]",Evan_001_001
"[-3, 0, 26]","[-2, 0, 16]","[0, -7, 7]","[3, -8, 11]","[-2, -3, -13]","[0, -10, -14]","[6, -11, -10]","[-2, -3, -11]",Evan_001_001
"[-6, 4, 17]","[-6, 0, 17]","[0, -7, 7]","[0, -7, 11]","[-1, 0, -14]","[-1, -12, -19]","[5, -12, -3]","[-1, -2, -5]",Evan_001_001
"[-5, 2, 23]","[-12, 0, 22]","[-6, -6, 16]","[3, -5, 14]","[-2, 0, -17]","[-1, -14, -25]","[4, -11, -9]","[-1, -5, -13]",Evan_001_001
"[-13, 3, 26]","[-19, 3, 16]","[-8, -7, 9]","[-2, -7, 20]","[-6, 2, -25]","[-6, -13, -28]","[0, -18, -13]","[-6, -4, -11]",Evan_001_001
"[-37, 5, -16]","[-23, 27, -32]","[-12, 10, -10]","[-22, -2, -3]","[-14, -4, -19]","[-14, -20, -32]","[2, -20, -4]","[-9, -6, -17]",Evan_001_001
"[-32, 2, -32]","[-19, 33, -44]","[-14, 18, -22]","[-26, 3, -13]","[-18, -5, -18]","[-15, -24, -27]","[2, -21, 0]","[-7, -9, -14]",Evan_001_001
"[-34, 4, -35]","[-20, 33, -42]","[-15, 20, -23]","[-28, 5, -14]","[-18, -5, -19]","[-12, -25, -27]","[1, -26, -2]","[-5, -11, -11]",Evan_001_001
"[-39, 1, -37]","[-17, 32, -49]","[-12, 20, -18]","[-25, 6, -15]","[-15, -3, -21]","[-16, -26, -26]","[0, -25, -4]","[-7, -10, -11]",Evan_001_001
"[-39, 4, -36]","[-19, 32, -48]","[-13, 20, -26]","[-27, 3, -21]","[-13, -3, -17]","[-14, -25, -22]","[-1, -26, 0]","[-4, -10, -8]",Evan_001_001
"[-39, 0, -35]","[-20, 35, -49]","[-10, 20, -21]","[-28, 4, -15]","[-17, -4, -25]","[-15, -28, -23]","[0, -23, -6]","[-8, -12, -8]",Evan_001_001
"[-38, 0, -36]","[-18, 35, -47]","[-13, 18, -23]","[-28, 5, -15]","[-13, -6, -18]","[-16, -23, -23]","[0, -23, 2]","[-8, -11, -6]",Evan_001_001
"[-39, 2, -35]","[-17, 31, -44]","[-10, 17, -22]","[-28, 1, -14]","[-15, -3, -20]","[-13, -24, -31]","[1, -19, 0]","[-7, -7, -7]",Evan_001_001
"[-35, 0, -38]","[-19, 30, -51]","[-15, 15, -20]","[-27, 2, -17]","[-13, -5, -18]","[-16, -26, -28]","[-3, -23, 1]","[-9, -8, -7]",Evan_001_001
"[-39, 0, -32]","[-17, 32, -42]","[-12, 18, -21]","[-28, 1, -14]","[-15, -1, -18]","[-15, -27, -27]","[-1, -20, -7]","[-10, -7, -10]",Evan_001_001
"[-35, 0, -32]","[-18, 31, -44]","[-16, 17, -19]","[-23, 1, -11]","[-16, -5, -20]","[-15, -20, -23]","[-1, -21, -2]","[-7, -9, -7]",Evan_001_001
"[-36, 2, -34]","[-13, 34, -44]","[-10, 20, -19]","[-23, 5, -11]","[-12, -1, -14]","[-14, -22, -19]","[1, -22, -1]","[-9, -10, -10]",Evan_001_001
"[-36, 2, -30]","[-14, 33, -43]","[-9, 19, -26]","[-25, 3, -15]","[-16, -5, -19]","[-13, -21, -25]","[-4, -20, 0]","[-9, -7, -7]",Evan_001_001
"[-39, 1, -33]","[-13, 32, -42]","[-10, 20, -22]","[-25, 2, -17]","[-15, -6, -18]","[-14, -23, -24]","[1, -22, -2]","[-7, -9, -11]",Evan_001_001
"[-36, 1, -33]","[-18, 32, -49]","[-12, 16, -22]","[-26, 5, -11]","[-18, 0, -18]","[-15, -25, -23]","[0, -22, 3]","[-11, -9, -5]",Evan_001_001
"[-36, 2, -33]","[-17, 30, -42]","[-11, 19, -16]","[-24, 0, -11]","[-14, -3, -19]","[-14, -23, -25]","[0, -23, 4]","[-10, -9, -8]",Evan_001_001
"[-37, 1, -38]","[-19, 31, -47]","[-11, 18, -16]","[-29, 3, -10]","[-16, -4, -18]","[-15, -23, -24]","[-1, -22, 0]","[-10, -8, -11]",Evan_001_001
"[-38, 0, -30]","[-16, 30, -44]","[-14, 20, -22]","[-26, 2, -15]","[-16, -3, -17]","[-16, -22, -27]","[-1, -22, 0]","[-10, -12, -8]",Evan_001_001
"[-35, 3, -36]","[-20, 33, -44]","[-14, 19, -17]","[-28, 6, -11]","[-11, -4, -18]","[-17, -26, -23]","[1, -23, -3]","[-8, -10, -1]",Evan_001_001
"[-37, 1, -32]","[-15, 29, -42]","[-11, 16, -15]","[-21, 2, -10]","[-12, -3, -17]","[-15, -27, -23]","[-2, -22, 0]","[-7, -9, -11]",Evan_001_001
"[-38, 2, -25]","[-18, 33, -38]","[-9, 19, -11]","[-22, 5, -6]","[-14, -6, -25]","[-15, -25, -25]","[0, -23, -2]","[-8, -12, -10]",Evan_001_001
"[-34, 0, -26]","[-18, 30, -42]","[-10, 17, -15]","[-22, 2, -7]","[-15, -4, -21]","[-15, -23, -28]","[-1, -24, -2]","[-13, -8, -11]",Evan_001_001
"[-34, 3, -21]","[-18, 29, -37]","[-15, 15, -9]","[-23, 2, -8]","[-16, 0, -14]","[-16, -23, -25]","[0, -23, -6]","[-7, -9, -11]",Evan_001_001
"[-40, 0, -30]","[-18, 31, -42]","[-14, 16, -19]","[-23, 0, -7]","[-17, -6, -17]","[-15, -24, -25]","[0, -22, -4]","[-7, -11, -8]",Evan_001_001
"[-40, 1, -28]","[-21, 33, -52]","[-13, 15, -19]","[-28, 2, -8]","[-18, -3, -25]","[-14, -21, -24]","[-3, -23, -6]","[-10, -12, -10]",Evan_001_001
"[-42, 1, -36]","[-23, 31, -45]","[-16, 19, -19]","[-27, 1, -15]","[-18, -6, -24]","[-17, -24, -26]","[-2, -24, -2]","[-11, -9, -10]",Evan_001_001
"[-42, 3, -35]","[-23, 37, -50]","[-15, 20, -23]","[-32, 1, -13]","[-16, -1, -19]","[-19, -24, -30]","[-4, -24, -6]","[-14, -9, -10]",Evan_001_001
"[-43, 6, -28]","[-25, 35, -45]","[-18, 18, -16]","[-34, 4, 0]","[-17, -4, -27]","[-19, -25, -34]","[-2, -28, -8]","[-13, -9, -10]",Evan_001_001
"[-47, 6, -29]","[-27, 34, -39]","[-19, 17, -9]","[-31, 1, 1]","[-18, -2, -23]","[-20, -26, -35]","[-3, -28, -9]","[-14, -11, -14]",Evan_001_001
"[-45, 5, -22]","[-27, 36, -34]","[-21, 17, -6]","[-32, 6, 0]","[-19, -3, -27]","[-17, -24, -36]","[-5, -28, -9]","[-11, -10, -15]",Evan_001_001
"[-45, 6, -29]","[-28, 39, -42]","[-18, 19, -8]","[-26, 6, 0]","[-18, -3, -24]","[-16, -31, -38]","[0, -27, -6]","[-13, -12, -11]",Evan_001_001
"[-43, 3, -30]","[-29, 34, -44]","[-21, 18, -12]","[-28, 3, 2]","[-17, -2, -26]","[-17, -23, -33]","[-3, -24, -8]","[-12, -11, -11]",Evan_001_001
"[-43, 5, -26]","[-28, 34, -43]","[-15, 18, -10]","[-30, 2, -1]","[-20, -4, -28]","[-18, -23, -38]","[-5, -24, -6]","[-12, -10, -10]",Evan_001_001
"[-46, 3, -30]","[-24, 36, -44]","[-17, 19, -9]","[-29, 5, -4]","[-16, -3, -21]","[-18, -24, -30]","[-4, -27, -1]","[-11, -11, -16]",Evan_001_001
"[-46, 8, -25]","[-25, 33, -43]","[-17, 19, -5]","[-27, 1, -6]","[-14, 0, -28]","[-16, -24, -36]","[-2, -26, -10]","[-12, -9, -8]",Evan_001_001
"[-45, 7, -27]","[-23, 34, -43]","[-18, 18, -11]","[-30, 2, -4]","[-17, -5, -27]","[-16, -24, -28]","[-2, -24, -7]","[-11, -11, -13]",Evan_001_001
"[-45, 5, -31]","[-24, 36, -39]","[-16, 19, -8]","[-28, 0, 0]","[-19, 0, -28]","[-16, -25, -25]","[0, -24, -6]","[-12, -12, -13]",Evan_001_001
"[-43, 3, -19]","[-26, 35, -39]","[-17, 19, -5]","[-28, 1, 1]","[-17, -3, -20]","[-22, -23, -30]","[-5, -28, -11]","[-13, -9, -14]",Evan_001_001
"[-45, 3, -20]","[-25, 33, -43]","[-13, 17, -9]","[-27, 5, 0]","[-16, -1, -26]","[-19, -26, -35]","[-2, -24, -7]","[-13, -6, -14]",Evan_001_001
"[-43, 1, -24]","[-27, 34, -42]","[-19, 17, -8]","[-31, 4, -1]","[-17, -4, -29]","[-18, -23, -28]","[-4, -26, -8]","[-12, -11, -10]",Evan_001_001
"[-42, 5, -23]","[-26, 30, -34]","[-20, 11, -12]","[-26, 0, -1]","[-17, -2, -22]","[-16, -23, -27]","[-6, -23, -6]","[-11, -9, -11]",Evan_001_001
"[-4, 0, 15]","[-1, -1, 9]","[1, -6, 4]","[3, -7, 11]","[-3, -3, -16]","[-3, -12, -11]","[7, -9, 0]","[1, -2, -3]",Evan_001_001
"[0, 3, 0]","[4, 10, 6]","[4, -1, 4]","[-1, -1, -1]","[2, -3, 2]","[4, -9, 13]","[11, -3, 2]","[3, -2, 0]",Evan_001_001
"[-5, 5, -3]","[2, 12, 2]","[5, 0, 3]","[0, 0, 3]","[0, 1, 0]","[0, -11, 3]","[8, -4, 0]","[-1, -2, 0]",Evan_001_001
"[-7, 4, -3]","[0, 12, 4]","[4, 1, -1]","[-2, 0, 4]","[0, 0, -5]","[1, -8, -2]","[5, -6, 4]","[-3, -2, 0]",Evan_001_001
"[-10, 4, -6]","[-5, 15, 0]","[1, 4, 3]","[-6, 0, 3]","[-2, 0, -1]","[-5, -5, -12]","[4, -6, 1]","[-2, 0, -2]",Evan_001_001
"[-8, 2, -3]","[-4, 14, 0]","[-1, 3, 2]","[-4, 0, 2]","[-6, 2, -8]","[-4, -4, -7]","[4, -4, 3]","[-4, 0, -4]",Evan_001_001
"[-10, 6, -2]","[-7, 15, -3]","[0, 5, 0]","[-3, 2, 0]","[-2, 0, -4]","[-4, -6, -14]","[4, -8, 0]","[-1, -1, 0]",Evan_001_001
"[-9, 5, 0]","[-3, 13, -2]","[0, 2, 0]","[-6, -1, 0]","[-3, 0, -2]","[-5, -4, -7]","[2, -6, 0]","[0, 0, -1]",Evan_001_001
"[-6, 2, 1]","[-3, 11, 0]","[2, 3, 6]","[-1, 0, 5]","[0, 1, -3]","[0, -5, -3]","[5, -6, 0]","[-2, 0, -2]",Evan_001_001
"[-7, 4, 3]","[-3, 11, 2]","[0, 4, -2]","[-2, 0, 4]","[-2, 2, -7]","[-3, -7, -11]","[2, -5, -6]","[-1, -2, 0]",Evan_001_001
"[-10, 4, -1]","[-3, 10, 0]","[3, 2, 9]","[-4, -2, 0]","[-2, 1, -6]","[-4, -4, -7]","[3, -4, -4]","[-3, 1, -4]",Evan_001_001
"[-5, 4, -2]","[-3, 13, 3]","[0, 4, 6]","[-1, 2, 8]","[0, 1, -8]","[0, -6, -4]","[4, -5, -2]","[-1, 0, -6]",Evan_001_001
"[-8, 4, 0]","[1, 9, 4]","[3, 1, 4]","[-4, 0, 3]","[-1, 0, -8]","[-1, -7, -11]","[4, -3, -9]","[0, 0, -4]",Evan_001_001
"[-5, 3, 4]","[-1, 11, 8]","[0, 0, 9]","[1, 0, 4]","[0, 1, -2]","[-2, -6, -11]","[4, -7, -2]","[0, 0, -4]",Evan_001_001
"[-5, 3, 2]","[-1, 8, 7]","[0, 1, 9]","[-2, -3, 6]","[-1, 1, -6]","[-1, -7, -10]","[4, -6, -9]","[0, 0, -2]",Evan_001_001
"[-8, 4, 7]","[-6, 10, 5]","[0, -1, 9]","[-1, 0, 9]","[-5, 4, -11]","[-5, -5, -16]","[1, -6, -6]","[-2, -1, -7]",Evan_001_001
"[-5, 1, 12]","[-6, 6, 9]","[3, 0, 10]","[0, 0, 9]","[0, 3, -16]","[-1, -4, -11]","[1, -8, -12]","[-1, 0, -11]",Evan_001_001
"[-7, 3, 6]","[-3, 11, 14]","[3, -2, 9]","[0, -2, 8]","[-6, 3, -7]","[-1, -4, -12]","[6, -5, -7]","[0, 3, -3]",Evan_001_001
"[-3, 4, 1]","[-1, 8, 10]","[4, -2, 7]","[0, -1, 5]","[-3, 1, -10]","[-1, -6, -12]","[5, -5, -5]","[-1, 0, -8]",Evan_001_001
"[-4, 3, 3]","[-3, 8, 9]","[3, -1, 7]","[0, -3, 4]","[-2, 5, -7]","[0, -6, -13]","[4, -8, -3]","[0, -1, -7]",Evan_001_001
"[-5, 5, 10]","[-1, 9, 13]","[1, -3, 13]","[3, -2, 13]","[-2, 2, -10]","[-1, -6, -12]","[3, -4, -4]","[-1, 0, -8]",Evan_001_001
"[-1, 5, 7]","[-2, 11, 12]","[4, 0, 10]","[1, -1, 11]","[-2, 2, -8]","[0, -8, -13]","[4, -7, -2]","[-5, -3, -10]",Evan_001_001
"[-4, 3, 6]","[-1, 10, 7]","[4, 0, 10]","[0, 0, 11]","[0, 1, -8]","[0, -9, -11]","[6, -3, -5]","[-1, -2, -4]",Evan_001_001
"[-5, 0, 8]","[-10, 8, 7]","[1, -2, 9]","[0, -1, 10]","[0, -1, -4]","[0, -9, -16]","[5, -6, -2]","[-2, -1, -6]",Evan_001_001
"[-1, 2, 8]","[-2, 10, 11]","[3, -2, 7]","[-2, 0, 5]","[0, 0, -7]","[0, -7, -14]","[7, -6, -2]","[-4, -2, -4]",Evan_001_001
"[-5, 3, 6]","[-4, 7, 14]","[4, -2, 7]","[3, -1, 12]","[-2, 2, -10]","[-2, -7, -14]","[3, -5, -6]","[-3, -1, -6]",Evan_001_001
"[-5, 2, 8]","[-4, 11, 11]","[1, -1, 12]","[-1, -4, 5]","[-4, 2, -7]","[2, -5, -14]","[6, -7, -7]","[-1, -2, -7]",Evan_001_001
"[-6, 1, 5]","[-2, 11, 12]","[1, -2, 10]","[0, -3, 8]","[-1, 2, -7]","[-2, -13, -16]","[4, -6, -5]","[-2, -3, -5]",Evan_001_001
"[-6, 1, 6]","[-3, 10, 9]","[1, -2, 7]","[1, -1, 13]","[-4, 1, -10]","[0, -8, -13]","[3, -4, -1]","[-1, -1, -3]",Evan_001_001
"[-5, 3, 10]","[-5, 10, 10]","[3, -2, 9]","[0, -1, 10]","[-2, 2, -13]","[-2, -8, -11]","[3, -5, -4]","[0, -1, -8]",Evan_001_001
"[-3, 4, 10]","[-4, 10, 8]","[2, -2, 7]","[1, -2, 6]","[-5, 0, -11]","[-1, -9, -12]","[4, -9, -2]","[-1, -2, -7]",Evan_001_001
"[-6, 0, 2]","[-2, 11, 7]","[3, -1, 9]","[0, 0, 9]","[0, 2, -12]","[0, -13, -13]","[6, -9, -2]","[-1, -2, -4]",Evan_001_001
"[-5, 1, 7]","[-5, 10, 7]","[2, 0, 6]","[1, -1, 9]","[-4, 0, -9]","[-2, -8, -10]","[3, -8, -10]","[-5, -2, -4]",Evan_001_001
"[-5, 4, 5]","[-3, 10, 11]","[1, 0, 1]","[0, 0, 5]","[-5, 0, -8]","[-1, -7, -9]","[3, -8, 0]","[-1, -1, -4]",Evan_001_001
"[-6, 1, 6]","[-2, 5, 7]","[1, -2, 4]","[-1, 0, 12]","[-2, -1, -10]","[-3, -7, -9]","[5, -10, -2]","[-4, 0, -10]",Evan_001_001
"[-7, 2, 10]","[-4, 7, 12]","[2, -1, 4]","[1, -1, 5]","[-5, 0, -11]","[0, -9, -15]","[5, -10, -9]","[0, 0, -8]",Evan_001_001
"[-5, 0, 16]","[-4, 6, 12]","[3, 0, 3]","[0, -4, 10]","[-1, 0, -3]","[-3, -10, -14]","[2, -7, -6]","[-1, -3, -12]",Evan_001_001
"[-9, 2, 11]","[-8, 9, 13]","[0, -3, 10]","[-2, -5, 11]","[-7, 4, -11]","[-3, -11, -24]","[2, -6, -1]","[-3, -2, -4]",Evan_001_001
"[-12, -1, 8]","[-10, 10, 7]","[-1, -3, 10]","[-3, -2, 13]","[-8, 3, -18]","[-7, -13, -23]","[2, -14, -7]","[-6, -3, -11]",Evan_001_001
"[-12, 0, 11]","[-10, 6, 8]","[-3, -1, 10]","[-3, -5, 8]","[-3, -1, -14]","[-3, -9, -19]","[-1, -9, -12]","[-3, 0, -8]",Evan_001_001
"[-5, 3, 13]","[-6, 5, 13]","[0, -3, 11]","[3, -1, 12]","[-6, 1, -10]","[-1, -10, -19]","[4, -10, -10]","[-3, -2, -7]",Evan_001_001
"[-7, 3, 15]","[-9, 5, 16]","[2, -5, 9]","[0, -7, 11]","[-3, 2, -14]","[-2, -9, -16]","[4, -9, -7]","[-5, -2, -7]",Evan_001_001
"[-7, 1, 16]","[-8, 4, 14]","[1, 0, 8]","[0, -5, 9]","[-5, 2, -10]","[-3, -10, -16]","[1, -10, -7]","[-2, 0, -11]",Evan_001_001
"[-4, 6, 20]","[-6, 5, 14]","[0, -6, 14]","[4, -5, 12]","[-2, 2, -16]","[0, -7, -15]","[3, -7, -10]","[0, -2, -12]",Evan_001_001
"[-5, 3, 25]","[-6, 1, 27]","[0, -5, 14]","[2, -9, 17]","[-4, 3, -14]","[-2, -7, -21]","[1, -12, -5]","[-6, -2, -7]",Evan_001_001
"[-4, -1, 28]","[-12, -3, 22]","[1, -10, 17]","[2, -6, 18]","[-9, 2, -18]","[-3, -6, -21]","[-1, -10, -12]","[-5, 0, -13]",Evan_001_001
"[-3, 1, 30]","[-13, -1, 20]","[0, -12, 16]","[1, -6, 21]","[-4, 4, -14]","[0, -9, -24]","[1, -13, -12]","[-7, -3, -14]",Evan_001_001
"[-4, -1, 28]","[-10, -1, 23]","[-3, -11, 13]","[2, -5, 16]","[-9, 4, -14]","[-5, -12, -24]","[3, -14, -9]","[-5, -1, -14]",Evan_001_001
"[-7, 0, 24]","[-7, -3, 24]","[-4, -11, 12]","[1, -10, 19]","[-5, 3, -24]","[-6, -10, -21]","[1, -12, -4]","[-6, -2, -15]",Evan_001_001
"[-5, 2, 26]","[-13, -3, 26]","[-5, -8, 14]","[0, -10, 21]","[-7, -2, -16]","[-3, -11, -26]","[0, -11, -7]","[-3, -6, -11]",Evan_001_001
"[-5, 0, 30]","[-12, -2, 26]","[-3, -10, 11]","[1, -9, 21]","[-8, 1, -14]","[-3, -11, -21]","[0, -13, -12]","[-4, -7, -9]",Evan_001_001
"[-2, -3, 28]","[-8, -4, 22]","[0, -11, 12]","[3, -8, 19]","[-5, 1, -18]","[-2, -8, -20]","[2, -12, -6]","[-4, -2, -7]",Evan_001_001
"[-4, -3, 26]","[-15, -3, 17]","[-4, -11, 7]","[0, -11, 20]","[-6, 0, -16]","[-10, -9, -19]","[2, -9, -7]","[-4, -5, -17]",Evan_001_001
"[-43, -17, -16]","[-43, 6, -59]","[-31, 11, -28]","[-32, -7, -5]","[-17, -2, -13]","[-22, -15, -21]","[-7, -17, 0]","[-9, -7, -5]",Evan_001_001
"[-37, -17, -34]","[-23, 7, -69]","[-26, 17, -40]","[-34, -9, -21]","[-10, -5, -11]","[-17, -19, -10]","[0, -18, 4]","[-6, -9, -3]",Evan_001_001
"[-31, -15, -25]","[-19, 13, -56]","[-23, 12, -36]","[-25, -6, -16]","[-11, -4, -17]","[-16, -24, -14]","[1, -20, 3]","[-8, -11, 0]",Evan_001_001
"[-36, -11, -21]","[-23, 14, -45]","[-14, 11, -23]","[-27, -3, -13]","[-12, -3, -14]","[-18, -21, -14]","[-3, -17, 3]","[-7, -12, 0]",Evan_001_001
"[-32, -10, -21]","[-25, 16, -50]","[-16, 12, -27]","[-28, -5, -11]","[-16, 0, -11]","[-17, -19, -19]","[-5, -20, 7]","[-8, -8, -5]",Evan_001_001
"[-37, -8, -20]","[-22, 20, -49]","[-19, 11, -24]","[-27, -6, -7]","[-18, -5, -14]","[-14, -23, -17]","[-2, -23, 0]","[-9, -9, -5]",Evan_001_001
"[-37, -11, -22]","[-23, 16, -47]","[-20, 14, -23]","[-27, -3, -6]","[-16, -1, -17]","[-14, -20, -21]","[-2, -19, 0]","[-9, -8, -5]",Evan_001_001
"[-37, -6, -23]","[-23, 21, -44]","[-22, 10, -26]","[-28, -2, -8]","[-18, -1, -20]","[-16, -22, -23]","[0, -22, 2]","[-8, -9, -6]",Evan_001_001
"[-41, -4, -20]","[-22, 22, -49]","[-20, 13, -24]","[-32, -4, -4]","[-14, -1, -22]","[-13, -22, -20]","[-2, -19, 0]","[-11, -9, -7]",Evan_001_001
"[-41, -8, -21]","[-24, 20, -51]","[-19, 12, -26]","[-27, -2, -4]","[-14, -3, -17]","[-19, -19, -21]","[-4, -22, -4]","[-6, -11, -6]",Evan_001_001
"[-41, -6, -13]","[-28, 20, -43]","[-18, 13, -22]","[-29, -3, -3]","[-15, -4, -16]","[-20, -20, -23]","[-5, -23, 0]","[-12, -9, -7]",Evan_001_001
"[-40, -4, -13]","[-27, 22, -43]","[-21, 14, -12]","[-28, -3, 0]","[-17, -2, -17]","[-16, -22, -28]","[-5, -22, 0]","[-11, -8, -7]",Evan_001_001
"[-43, -2, -17]","[-28, 23, -43]","[-20, 14, -12]","[-29, -2, 0]","[-19, -4, -17]","[-16, -24, -28]","[-2, -25, -6]","[-13, -9, -12]",Evan_001_001
"[-43, 0, -16]","[-28, 29, -40]","[-22, 13, -12]","[-26, -3, 0]","[-13, -3, -19]","[-17, -20, -30]","[-5, -24, -4]","[-12, -8, -11]",Evan_001_001
"[-42, 1, -26]","[-20, 29, -38]","[-15, 14, -13]","[-27, 0, -7]","[-16, -3, -20]","[-18, -22, -28]","[-4, -24, -4]","[-9, -13, -15]",Evan_001_001
"[-40, 0, -23]","[-22, 28, -44]","[-11, 14, -17]","[-25, 2, -8]","[-17, -1, -20]","[-15, -24, -25]","[-2, -23, -1]","[-6, -12, -4]",Evan_001_001
"[-38, 4, -31]","[-20, 28, -46]","[-14, 16, -15]","[-27, 0, -4]","[-19, -1, -21]","[-17, -28, -24]","[-2, -28, -3]","[-14, -7, -7]",Evan_001_001
"[-39, 2, -32]","[-19, 29, -44]","[-16, 18, -17]","[-27, 1, -10]","[-15, -2, -17]","[-17, -25, -21]","[-3, -23, -5]","[-11, -9, -10]",Evan_001_001
"[-35, -2, -26]","[-19, 26, -46]","[-10, 17, -22]","[-25, 2, -2]","[-15, -7, -20]","[-16, -22, -30]","[-2, -23, 0]","[-7, -6, -6]",Evan_001_001
"[-37, 0, -27]","[-20, 28, -39]","[-14, 15, -21]","[-24, 1, -8]","[-14, -4, -18]","[-16, -21, -25]","[-2, -26, -2]","[-9, -11, -8]",Evan_001_001
"[-35, -3, -30]","[-20, 29, -47]","[-12, 15, -19]","[-25, 2, -11]","[-16, -4, -23]","[-18, -24, -27]","[-4, -22, -1]","[-11, -11, -10]",Evan_001_001
"[-37, 0, -31]","[-20, 30, -39]","[-16, 15, -22]","[-25, 1, -11]","[-18, -2, -21]","[-16, -26, -26]","[0, -23, -5]","[-12, -8, -10]",Evan_001_001
"[-35, 0, -33]","[-19, 30, -47]","[-14, 18, -21]","[-25, 1, -5]","[-13, -3, -16]","[-15, -24, -27]","[0, -21, 2]","[-8, -10, -6]",Evan_001_001
"[-37, 0, -37]","[-15, 26, -42]","[-10, 18, -16]","[-24, 4, -5]","[-13, -4, -19]","[-14, -25, -21]","[0, -23, 0]","[-5, -9, -12]",Evan_001_001
"[-35, 2, -27]","[-18, 30, -44]","[-13, 17, -19]","[-24, 0, -12]","[-15, -4, -18]","[-13, -23, -25]","[0, -24, 2]","[-13, -10, -9]",Evan_001_001
"[-34, 0, -26]","[-17, 30, -40]","[-13, 17, -25]","[-26, 2, -14]","[-21, -5, -21]","[-18, -25, -21]","[0, -24, 0]","[-6, -9, -7]",Evan_001_001
"[-35, 2, -31]","[-18, 28, -37]","[-14, 17, -18]","[-27, 0, -9]","[-15, -1, -23]","[-18, -22, -24]","[0, -24, -3]","[-10, -10, -13]",Evan_001_001
"[-38, 4, -26]","[-18, 30, -44]","[-13, 19, -19]","[-23, 1, -9]","[-14, -4, -19]","[-14, -28, -25]","[0, -25, 1]","[-9, -7, -9]",Evan_001_001
"[-38, 0, -28]","[-18, 27, -44]","[-12, 14, -18]","[-25, 0, -13]","[-18, -2, -21]","[-14, -24, -21]","[-2, -26, -2]","[-9, -11, -3]",Evan_001_001
